parent_id,call_index,tool_family,observation_index,call_frame_index,call_frames,call_progress,horizon_offset,source_action_index,channel,channel_name,unit,expert_controller,expert_physical,prediction_mean_raw_controller,prediction_mean_applied_controller,prediction_mean_physical,physical_signed_error,physical_absolute_error,physical_sample_std,raw_out_of_bounds_fraction
20,0,reach,0,0,21,0.0,0,0,0,shoulder_pan,rad_delta,-0.5360425114631653,-0.053604251146316534,0.005502238869667053,0.005502234329469502,0.0005502234329469516,0.054154474579263485,0.054154474579263485,0.02439878375574957,0.0
20,0,reach,0,0,21,0.0,0,0,1,shoulder_lift,rad_delta,0.9678106904029846,0.09678106904029846,0.4598381519317627,0.4598381221294403,0.045983812212944036,-0.05079725682735442,0.05079725682735442,0.010923198282282377,0.0
20,0,reach,0,0,21,0.0,0,0,2,upperarm_roll,rad_delta,0.4470515251159668,0.04470515251159668,1.012835144996643,0.9613607972860336,0.09613607972860336,0.05143092721700668,0.05143092721700668,0.006126221321410189,0.5
20,0,reach,0,0,21,0.0,0,0,3,elbow_flex,rad_delta,-0.9841805696487427,-0.09841805696487427,-0.9817877411842346,-0.9660456627607346,-0.09660456627607344,0.0018134906888008229,0.0018134906888008229,0.004848951738663133,0.5
20,0,reach,0,0,21,0.0,0,0,4,forearm_roll,rad_delta,-0.9570252895355225,-0.09570252895355225,-0.8019087314605713,-0.8019087016582489,-0.08019087016582489,0.015511658787727353,0.015511658787727353,0.006724532843919863,0.0
20,0,reach,0,0,21,0.0,0,0,5,wrist_flex,rad_delta,-0.9870014786720276,-0.09870014786720277,-1.00877046585083,-0.988159641623497,-0.09881596416234971,-0.00011581629514693936,0.00011581629514693936,0.0023680716753005995,0.75
20,0,reach,0,0,21,0.0,0,0,6,wrist_roll,rad_delta,-0.7954562902450562,-0.07954562902450563,-0.8121324777603149,-0.8121324330568314,-0.08121324330568314,-0.0016676142811775096,0.0016676142811775096,0.0050496745730111,0.0
20,0,reach,0,0,21,0.0,0,0,7,gripper,m_joint_target,0.991856038570404,0.049755681157112125,0.9899024367332458,0.9858701229095459,0.04957610368728638,-0.00017957746982574796,0.00017957746982574796,0.00048307733454805717,0.25
20,0,reach,0,0,21,0.0,0,0,8,head_pan,rad_delta,0.0,0.0,-9.244186749413075e-09,0.0,0.0,0.0,0.0,0.0,0.0
20,0,reach,0,0,21,0.0,0,0,9,head_tilt,rad_delta,0.0,0.0,-1.8105685839486796e-08,0.0,0.0,0.0,0.0,0.0,0.0
20,0,reach,0,0,21,0.0,0,0,10,torso_lift,m_delta,0.9882509708404541,0.09882509708404541,1.0795714855194092,0.9970370829105377,0.0997037082910538,0.000878611207008384,0.000878611207008384,0.0005925834178924505,0.75
20,0,reach,0,0,21,0.0,0,0,11,base_forward,m_per_s,0.9882457256317139,0.9882457256317139,1.0942649841308594,1.0,1.0,0.011754274368286133,0.011754274368286133,0.0,1.0
20,0,reach,0,0,21,0.0,0,0,12,base_yaw,rad_per_s,-0.5047479271888733,-1.5849084913730622,0.08468268066644669,0.08468268311116844,0.26590362496906894,1.8508121163421312,1.8508121163421312,0.6958559375725966,0.0
20,0,reach,0,0,21,0.0,1,1,0,shoulder_pan,rad_delta,-0.6950768828392029,-0.06950768828392029,0.2015075981616974,0.20150759629905224,0.020150759629905222,0.08965844791382552,0.08965844791382552,0.016145649476226362,0.0
20,0,reach,0,0,21,0.0,1,1,1,shoulder_lift,rad_delta,0.9572458267211914,0.09572458267211914,0.5268160104751587,0.5268160402774811,0.05268160402774811,-0.04304297864437103,0.04304297864437103,0.011004430979209154,0.0
20,0,reach,0,0,21,0.0,1,1,2,upperarm_roll,rad_delta,0.14649268984794617,0.014649268984794614,0.9900652170181274,0.9648531526327133,0.09648531526327134,0.08183604627847672,0.08183604627847672,0.005836748905488373,0.5
20,0,reach,0,0,21,0.0,1,1,3,elbow_flex,rad_delta,-0.9908007383346558,-0.09908007383346558,-0.9788691401481628,-0.9667871594429016,-0.09667871594429017,0.0024013578891754067,0.0024013578891754067,0.004467288550124534,0.5
20,0,reach,0,0,21,0.0,1,1,4,forearm_roll,rad_delta,-0.9755797386169434,-0.09755797386169435,-0.8262439966201782,-0.8262439370155334,-0.08262439370155336,0.014933580160140986,0.014933580160140986,0.00461028597561611,0.0
